Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1.6293E+12,2021-08-18 15:00:00+00:00,BTCUSDT,45402.08,45833,45185,45820,3292.044945,149824197.9,102258
1.6293E+12,2021-08-18 16:00:00+00:00,BTCUSDT,45820,45969.99,45593.22,45878.42,2731.911179,125051278.8,117686
1.62931E+12,2021-08-18 17:00:00+00:00,BTCUSDT,45878.42,45920,45730.09,45813.89,1923.476499,88130998.78,94094
1.62931E+12,2021-08-18 18:00:00+00:00,BTCUSDT,45813.9,46000,45350,45401.4,2599.21659,118661628.7,58189
1.62931E+12,2021-08-18 19:00:00+00:00,BTCUSDT,45401.4,45510.47,44772.65,44901.12,2772.153467,124927750.8,64162
1.62932E+12,2021-08-18 20:00:00+00:00,BTCUSDT,44901.11,44990.97,44500,44525.26,1994.976984,89256703.84,91200
1.62932E+12,2021-08-18 21:00:00+00:00,BTCUSDT,44525.27,44780.52,44401,44577.95,1835.87093,81866169.99,89653
1.62932E+12,2021-08-18 22:00:00+00:00,BTCUSDT,44577.95,44907.4,44500,44862.13,1615.231389,72277283.46,71151
1.62933E+12,2021-08-18 23:00:00+00:00,BTCUSDT,44862.14,45192.89,44683.39,44705.29,1701.521742,76504109.06,49012
1.62933E+12,2021-08-19 00:00:00+00:00,BTCUSDT,44699.37,45078.78,44480.58,45042.66,2341.393294,104808260.4,73840
1.62933E+12,2021-08-19 01:00:00+00:00,BTCUSDT,45042.66,45234.56,44863.16,44955.07,1644.453419,74089807.43,44813
1.62934E+12,2021-08-19 02:00:00+00:00,BTCUSDT,44959.96,44959.96,44581.34,44590.84,1574.235658,70412721.87,59075
1.62934E+12,2021-08-19 03:00:00+00:00,BTCUSDT,44590.83,44613.36,44044.65,44046.97,2989.911156,132356686.3,123366
1.62935E+12,2021-08-19 04:00:00+00:00,BTCUSDT,44046.97,44324.92,43927.7,44132.07,3029.520837,133606401.9,108671
1.62935E+12,2021-08-19 05:00:00+00:00,BTCUSDT,44132.07,44493.38,44040.82,44403.35,1745.476637,77385152.67,71246
1.62935E+12,2021-08-19 06:00:00+00:00,BTCUSDT,44403.36,44522.37,44207.48,44380.61,1479.189582,65603064.35,40710
1.62936E+12,2021-08-19 07:00:00+00:00,BTCUSDT,44380.6,44660.9,44216,44660.01,2092.531978,92921470.74,50508
1.62936E+12,2021-08-19 08:00:00+00:00,BTCUSDT,44660.01,45000,44338.67,44705.55,2706.154383,120983784,62339
1.62936E+12,2021-08-19 09:00:00+00:00,BTCUSDT,44705.54,44866.14,44600.85,44756.8,1387.601835,62113522.42,38478
1.62937E+12,2021-08-19 10:00:00+00:00,BTCUSDT,44756.79,44861.13,44350,44360.01,1626.61713,72515300.77,44979
1.62937E+12,2021-08-19 11:00:00+00:00,BTCUSDT,44360,44487.81,44175.47,44215.25,1786.148746,79175098.39,42613
1.62937E+12,2021-08-19 12:00:00+00:00,BTCUSDT,44215.24,44613.62,44123.65,44577.56,1661.862738,73695035.74,45806
1.62938E+12,2021-08-19 13:00:00+00:00,BTCUSDT,44577.56,44998,44391.55,44982.88,2745.479023,122799252.1,60602
1.62938E+12,2021-08-19 14:00:00+00:00,BTCUSDT,44982.89,45480,44982.89,45448.27,3899.528154,176580800.5,83891
1.62939E+12,2021-08-19 15:00:00+00:00,BTCUSDT,45448.28,45800,45448.27,45779.58,2730.872863,124632310.4,69474
1.62939E+12,2021-08-19 16:00:00+00:00,BTCUSDT,45779.59,45951.33,45585,45603.2,2525.165525,115553874.8,62020
1.62939E+12,2021-08-19 17:00:00+00:00,BTCUSDT,45603.19,45800,45405.86,45730.21,1818.93971,82966489.21,46671
1.6294E+12,2021-08-19 18:00:00+00:00,BTCUSDT,45730.22,46757.01,45674.46,46562.83,4756.208208,220413793.1,185708
1.6294E+12,2021-08-19 19:00:00+00:00,BTCUSDT,46562.83,46751.14,46492.85,46710,2298.493112,107215686.3,145461
1.6294E+12,2021-08-19 20:00:00+00:00,BTCUSDT,46710,46877.1,46433.88,46591.72,1872.100164,87243820.33,110963
1.62941E+12,2021-08-19 21:00:00+00:00,BTCUSDT,46591.72,46710.11,46488.02,46606.99,1071.595834,49914854.77,64870
