Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT,tradecount
1.62E+12,2021-05-29 07:00:00+00:00,ETHUSDT,2521.65,2532.74,2481.09,2488.96,39983.25204,100254983.8,51702
1.62E+12,2021-05-29 08:00:00+00:00,ETHUSDT,2488.76,2497.18,2437.67,2450.76,39704.44655,97977539.14,59812
1.62E+12,2021-05-29 09:00:00+00:00,ETHUSDT,2450.76,2461.21,2391.31,2435.2,63464.2753,153667443.8,84984
1.62E+12,2021-05-29 10:00:00+00:00,ETHUSDT,2435.2,2445.71,2410.34,2419.87,30521.42504,74037206.13,47299
1.62E+12,2021-05-29 11:00:00+00:00,ETHUSDT,2419.86,2466.7,2377.27,2450.75,74744.87581,181680334.3,93086
1.62E+12,2021-05-29 12:00:00+00:00,ETHUSDT,2450.75,2451.52,2378.14,2391,52431.45357,126440658.2,71523
1.62E+12,2021-05-29 13:00:00+00:00,ETHUSDT,2391.18,2404.17,2346.02,2394.32,70448.40769,166925120.9,97050
1.62E+12,2021-05-29 14:00:00+00:00,ETHUSDT,2394.04,2425.9,2353.33,2370.96,53084.06056,126666864.2,76920
1.62E+12,2021-05-29 15:00:00+00:00,ETHUSDT,2370.97,2371.28,2285.77,2328.92,100534.7199,233490208.6,135587
1.62E+12,2021-05-29 16:00:00+00:00,ETHUSDT,2328.84,2390.02,2294.31,2372.36,86913.35722,203102568.3,105455
1.62E+12,2021-05-29 17:00:00+00:00,ETHUSDT,2372.38,2373.34,2258.27,2269.35,69232.34732,159715511.2,90181
1.62E+12,2021-05-29 18:00:00+00:00,ETHUSDT,2268.48,2289.54,2241.01,2273,64181.63527,145334014.6,81021
1.62E+12,2021-05-29 19:00:00+00:00,ETHUSDT,2273,2286.27,2216.6,2247.04,63224.95665,142124655.6,80615
1.62E+12,2021-05-29 20:00:00+00:00,ETHUSDT,2247.09,2272.96,2204.1,2236.94,79891.20893,178085678.6,89996
1.62E+12,2021-05-29 21:00:00+00:00,ETHUSDT,2236.95,2280.51,2223.72,2278.98,40836.89882,92017184.99,59443
1.62E+12,2021-05-29 22:00:00+00:00,ETHUSDT,2278.76,2289.43,2252.16,2272.04,39249.33861,89021408.72,51069
1.62E+12,2021-05-29 23:00:00+00:00,ETHUSDT,2272.05,2323.23,2244.27,2278.74,57534.24537,131507949.3,71501
1.62E+12,2021-05-30 00:00:00+00:00,ETHUSDT,2278.74,2282.59,2180.53,2227.77,96878.04917,214920358.2,116998
1.62E+12,2021-05-30 01:00:00+00:00,ETHUSDT,2228.17,2248.6,2192.93,2224.18,48395.10995,107363664,63678
1.62E+12,2021-05-30 02:00:00+00:00,ETHUSDT,2224.17,2284.14,2212.62,2280.77,43639.1756,98381639.74,58497
1.62E+12,2021-05-30 03:00:00+00:00,ETHUSDT,2280.77,2319,2265.11,2296.12,59248.36488,135621859.4,65866
1.62E+12,2021-05-30 04:00:00+00:00,ETHUSDT,2296.47,2318,2275.21,2297.41,51023.41731,117271390.6,62061
1.62E+12,2021-05-30 05:00:00+00:00,ETHUSDT,2297.47,2385,2297.47,2370.85,68008.0152,159847132.8,85558
1.62E+12,2021-05-30 06:00:00+00:00,ETHUSDT,2370.87,2436.5,2370.87,2425.15,85171.87317,204868038.6,109020
1.62E+12,2021-05-30 07:00:00+00:00,ETHUSDT,2425.15,2463.54,2406.86,2452.33,74354.49237,181141202.3,92668
1.62E+12,2021-05-30 08:00:00+00:00,ETHUSDT,2452.32,2476.42,2412.62,2418.79,58900.28255,143430791.8,80646
1.62E+12,2021-05-30 09:00:00+00:00,ETHUSDT,2418.79,2442.8,2408.08,2423.83,44676.57074,108442408.8,60084
1.62E+12,2021-05-30 10:00:00+00:00,ETHUSDT,2423.73,2433.83,2386.23,2399.3,48403.50193,116690369.7,61392
1.62E+12,2021-05-30 11:00:00+00:00,ETHUSDT,2399.3,2463.08,2389.69,2461.56,52335.24772,126855914.3,65086
1.62E+12,2021-05-30 12:00:00+00:00,ETHUSDT,2461.92,2468,2362.84,2388.08,59734.99015,143981581.6,78467
1.62E+12,2021-05-30 13:00:00+00:00,ETHUSDT,2388.07,2405.41,2371,2389.11,37768.42661,90192224.49,48647
1.62E+12,2021-05-30 14:00:00+00:00,ETHUSDT,2389.59,2393.72,2340,2352.92,42352.19084,99975423.53,59212
1.62E+12,2021-05-30 15:00:00+00:00,ETHUSDT,2352.83,2384.99,2350.35,2382.48,27771.93528,65681413.07,41452
1.62E+12,2021-05-30 16:00:00+00:00,ETHUSDT,2382.04,2431,2363.9,2407.73,44181.17897,106042189.9,64329
1.62E+12,2021-05-30 17:00:00+00:00,ETHUSDT,2408.31,2437.46,2406.09,2420.34,30200.02157,73158705.04,48159
1.62E+12,2021-05-30 18:00:00+00:00,ETHUSDT,2420.11,2465.9,2419.26,2456.95,36196.2808,88542685.28,54727
1.62E+12,2021-05-30 19:00:00+00:00,ETHUSDT,2456.96,2463.42,2433.34,2441.9,31509.43858,77176952.6,41364
1.62E+12,2021-05-30 20:00:00+00:00,ETHUSDT,2441.9,2460.91,2420.49,2435.42,31826.65972,77706604.83,46135
1.62E+12,2021-05-30 21:00:00+00:00,ETHUSDT,2436.26,2450,2419.77,2420.72,20825.5532,50674090.14,32921
1.62E+12,2021-05-30 22:00:00+00:00,ETHUSDT,2420.72,2431.98,2386,2411.03,26298.03114,63474118.91,40548
1.62E+12,2021-05-30 23:00:00+00:00,ETHUSDT,2411.03,2420.32,2378.41,2385.98,31414.39138,75165378.79,41490
1.62E+12,2021-05-31 00:00:00+00:00,ETHUSDT,2385.82,2414.96,2350.01,2354.01,50560.97849,120145325.8,73484
1.62E+12,2021-05-31 01:00:00+00:00,ETHUSDT,2354,2363.48,2295.01,2303.75,50759.23108,117989618.4,73015
1.62E+12,2021-05-31 02:00:00+00:00,ETHUSDT,2303.8,2336.99,2284.25,2309.42,45930.3485,105966826.9,61557
1.62E+12,2021-05-31 03:00:00+00:00,ETHUSDT,2309.43,2321,2271.44,2300.77,49532.03385,113709080.2,64747
